"Model","DT","predicitons_ExpDT_RF","predicitons_ExpDT_PLS","Tumor_type","Doubling_time_(days)","Days_to_150mm3","Treatment_history"
"CTG-0134",18.4077547950901,96.4407709338533,99.8850110217057,"Colorectal","12 - 40","19 - 63","Not available"
"CTG-0136",7.88903776932434,102.644635191623,100.859247827944,"Esophageal","6 - 12","9 - 20","Pretreated"
"CTG-0137",6.64724478711588,93.0617731579567,97.1005301779896,"Esophageal","4 - 9","7 - 14","Pretreated"
"CTG-0138",13.5453290001607,88.5844061062166,95.884485091584,"Esophageal","9 - 15","14 - 24","Pretreated"
"CTG-0140",17.509815536793,96.74679722491,96.5512159587566,"Esophageal","11 - 34","18 - 54","Naive"
"CTG-0142",6.83716606674776,77.6124035865101,67.5159324739163,"Sarcoma","5 - 12","7 - 19","Not available"
"CTG-0143",7.97669374453905,71.6841151214767,59.2197643617596,"Sarcoma","6 - 14","9 - 23","Pretreated"
"CTG-0146",14.3580487401703,91.6543471213266,102.13804159932,"Gastric","10 - 22","16 - 35","Naive"
"CTG-0147",8.97378046260644,89.6052379094899,98.4218147733826,"Gastric","5 - 12","8 - 19","Naive"
"CTG-0148",10.2557491001216,84.1404347822167,90.7533188439566,"Gastric","6 - 27","9 - 44","Naive"
"CTG-0149",10.4043831450509,79.8895281643866,75.4467611751196,"Head and neck","6 - 26","10 - 40","Naive"
"CTG-0152",10.557388779537,66.9856801108,55.2668318978453,"Head and neck","7 - 19","11 - 29","Pretreated"
"CTG-0158",7.55686775798437,86.1747078417366,82.5253016163804,"NSCLC","5 - 14","8 - 23","Not available"
"CTG-0159",7.17902437008515,78.0206714171567,78.582182499763,"NSCLC","5 - 11","8 - 18","Pretreated"
"CTG-0160",9.32340827283785,87.1452680081333,92.6788096757017,"NSCLC","7 - 14","11 - 21","Pretreated"
"CTG-0162",15.2745199363514,77.9243663889,78.9648626467998,"NSCLC","8 - 35","13 - 55","Not available"
"CTG-0163",18.8921693949609,77.6778944445566,79.1848458818546,"NSCLC","13 - 33","21 - 53","Pretreated"
"CTG-0165",8.25175214952316,80.1404376333632,86.3707140304128,"NSCLC","6 - 12","10 - 20","Pretreated"
"CTG-0166",11.0446528770541,106.57919195574,99.2041863699994,"NSCLC","8 - 18","13 - 28","Pretreated"
"CTG-0178",11.9650406168086,111.387665292757,113.682007967213,"NSCLC","8 - 24","12 - 38","Naive"
"CTG-0184",10.8773096516442,103.405737809457,105.23484839801,"NSCLC","7 - 30","10 - 47","Naive"
"CTG-0192",17.9475609252129,77.1816871180801,71.8813596804284,"NSCLC","13 - 36","20 - 57","Pretreated"
"CTG-0198",9.83427995902075,101.90975052372,94.4209294027634,"SCLC","7 - 16","11 - 25","Pretreated"
"CTG-0199",5.24016377378478,62.7913304690367,54.2011998451595,"SCLC","4 - 8","6 - 13","Pretreated"
"CTG-0201",5.3177958296927,71.0085165855767,56.6948024258756,"Melanoma","4 - 7","6 - 11","Pretreated"
"CTG-0202",8.34770275591296,71.1944242897333,69.1624354484796,"Melanoma","6 - 14","9 - 22","Pretreated"
"CTG-0204",8.15798223873312,66.9776703526767,56.4985143307417,"Melanoma","6 - 14","9 - 22","Not available"
"CTG-0210",12.1678379153986,74.958422580661,64.7070992217684,"Melanoma","8 - 39","12 - 62","Naive"
"CTG-0211",31.2131494351528,81.50918462331,56.5248879686489,"Melanoma","25 - 33","40 - 52","Pretreated"
"CTG-0213",29.9126015420215,70.4834489929034,60.1615191095422,"Melanoma","22 - 47","34 - 74","Naive"
"CTG-0215",14.9563007710107,80.1037987199434,80.5135053026174,"Melanoma","9 - 46","14 - 72","Not available"
"CTG-0219",14.6510701430309,76.6119225577733,68.5026378614124,"Melanoma","8 - 30","12 - 48","Not available"
"CTG-0231",7.47815038550536,77.1391090007866,74.2882746152167,"Merkel cell","4 - 12","7 - 19","Pretreated"
"CTG-0232",4.72304234874023,64.2601464348933,58.9723054694137,"Merkel cell","4 - 5","6 - 8","Pretreated"
"CTG-0234",18.8921693949609,71.19351080772,51.4844586288754,"Mesothelioma","14 - 35","22 - 56","Not available"
"CTG-0241",9.57203249344686,73.8633658201067,62.7700056094241,"Sarcoma","7 - 14","11 - 22","Not available"
"CTG-0242",15.6065747175764,95.1849301336466,104.849717265741,"Sarcoma","11 - 33","17 - 52","Pretreated"
"CTG-0252",4.24794341425157,96.2888175418133,95.4881302386135,"Ovarian","2 - 11","4 - 17","Not available"
"CTG-0253",4.54368631018047,63.6717232654967,50.1556617302433,"Ovarian","3 - 8","5 - 12","Not available"
"CTG-0257",4.54368631018047,66.1280498680934,65.4627655849427,"Ovarian","4 - 17","6 - 26","Not available"
"CTG-0258",6.5263857909865,63.7937318827833,64.939732809266,"Ovarian","4 - 13","7 - 20","Not available"
"CTG-0259",9.57203249344687,91.63287272764,91.4290781143976,"Ovarian","5 - 41","7 - 65","Pretreated"
"CTG-0282",7.8032873587882,81.2657119051268,84.9884430095923,"Pancreatic","6 - 16","9 - 25","Pretreated"
"CTG-0283",5.12787455006082,106.49377660016,114.419245128705,"Pancreatic","2 - 6622","4 - 10495","Pretreated"
"CTG-0284",8.25175214952316,97.56641525728,104.473575447533,"Pancreatic","7 - 12","11 - 19","Not available"
"CTG-0285",10.4043831450509,95.3848728113133,102.059924300213,"Pancreatic","8 - 14","12 - 22","Not available"
"CTG-0286",10.557388779537,95.2572381759932,94.9521829112407,"Pancreatic","8 - 16","12 - 25","Not available"
"CTG-0287",10.557388779537,107.541863081743,113.627598507021,"Pancreatic","9 - 16","15 - 25","Not available"
"CTG-0288",7.63725996817569,65.8886343825733,44.1282555003648,"Pancreatic","6 - 11","9 - 17","Not available"
"CTG-0289",8.34770275591296,102.653722198293,105.692037976593,"Pancreatic","6 - 12","10 - 19","Not available"
"CTG-0290",11.9650406168086,103.46116874648,107.191635607068,"Pancreatic","8 - 21","13 - 33","Not available"
"CTG-0291",11.7688924099757,91.92624539604,96.6893408112868,"Pancreatic","8 - 20","12 - 32","Not available"
"CTG-0292",12.5947795966406,94.37129239725,102.854710387604,"Pancreatic","8 - 34","13 - 53","Not available"
"CTG-0293",10.4043831450509,109.511739474587,115.087614654151,"Pancreatic","8 - 16","12 - 25","Naive"
"CTG-0294",10.8773096516442,106.60607434347,110.553324545967,"Cholangiocarcinoma","8 - 16","12 - 26","Naive"
"CTG-0295",9.57203249344687,119.227078841843,123.693397081598,"Pancreatic","6 - 18","10 - 29","Not available"
"CTG-0296",12.1678379153986,123.188135790913,127.002217969401,"Pancreatic","9 - 17","15 - 27","Not available"
"CTG-0298",12.1678379153986,82.9890523706867,87.2118470420869,"Pancreatic","9 - 24","15 - 38","Not available"
"CTG-0299",14.6510701430309,106.457773136353,112.621284125376,"Pancreatic","10 - 22","16 - 35","Not available"
"CTG-0300",10.1113019296974,115.686213921347,124.47288051396,"Pancreatic","9 - 15","14 - 24","Not available"
"CTG-0464",15.6065747175764,98.2640782249934,100.905023203904,"NSCLC","11 - 25","18 - 39","Naive"
"CTG-0502",6.03279358830685,64.4067555453634,56.121474693448,"NSCLC","4 - 11","7 - 17","Not available"
"CTG-0743",12.3776282242847,84.2270938199201,85.7211055314727,"NSCLC","9 - 23","14 - 36","Naive"
"CTG-0765",10.1113019296974,63.17641434786,60.8898880406339,"NSCLC","7 - 19","11 - 31","Naive"
"CTG-0808",8.25175214952316,95.7622662038467,94.1629091591442,"NSCLC","6 - 11","9 - 18","Not available"
"CTG-0828",17.0929151668694,97.8823853814665,96.3364746189587,"NSCLC","12 - 31","20 - 49","Naive"
"CTG-0838",8.15798223873312,75.8250718984533,79.7021872456411,"NSCLC","6 - 15","9 - 23","Pretreated"
"CTG-0848",19.4027685677977,100.166458029677,104.081606529566,"NSCLC","13 - 42","21 - 67","Not available"
"CTG-0852",18.8921693949609,97.8347514903867,102.698212336538,"NSCLC","15 - 35","23 - 55","Pretreated"
"CTG-0860",7.10794492087638,99.7429538060133,96.5639468013194,"NSCLC","5 - 13","8 - 20","Not available"
"CTG-0924",21.7546193032883,81.1605247304701,80.6937312571339,"NSCLC","15 - 47","23 - 75","Naive"
"CTG-1012",7.63725996817569,62.7670715361733,60.5983936445908,"NSCLC","5 - 11","9 - 18","Pretreated"
"CTG-1014",20.5114982002433,110.260051211267,112.977177439947,"NSCLC","13 - 46","21 - 73","Pretreated"
"CTG-1194",7.03825918635799,71.8103689404867,58.7311635755346,"NSCLC","5 - 11","8 - 17","Naive"
"CTG-1212",13.2944895742318,90.9889681294266,89.2598515766326,"NSCLC","10 - 22","15 - 36","Not available"
"CTG-1217",14.9563007710107,98.51098998014,105.033015779596,"NSCLC","10 - 18","16 - 29","Not available"
"CTG-1253",13.5453290001607,67.8360409162867,68.145761817739,"NSCLC","8 - 21","13 - 34","Naive"
"CTG-1269",17.509815536793,83.2481624831733,88.312662095897,"NSCLC","14 - 31","22 - 49","Pretreated"
"CTG-1275",14.3580487401703,73.6219096322166,73.5286037614221,"NSCLC","10 - 25","16 - 39","Naive"
"CTG-1309",12.5947795966406,107.60121092745,108.986296056599,"NSCLC","10 - 25","15 - 40","Naive"
"CTG-1316",13.052771581973,69.48694137832,69.8119052916672,"NSCLC","10 - 18","15 - 29","Naive"
"CTG-1329",17.0929151668694,94.7691746952866,96.3927142065135,"NSCLC","Not available","Not available","Pretreated"
"CTG-1342",12.1678379153986,85.3120487678533,87.7736991813792,"NSCLC","9 - 19","15 - 31","Pretreated"
"CTG-1351",11.0446528770541,77.5754699216599,78.1111688908674,"NSCLC","6 - 12","10 - 19","Not available"
"CTG-1352",13.2944895742318,66.3288945767633,68.2445468371524,"NSCLC","17 - 31","26 - 49","Not available"
"CTG-1353",11.5790715646535,81.2427419837434,86.7436457523163,"NSCLC","8 - 15","13 - 24","Not available"
"CTG-1354",27.6116321926352,86.5107697048666,89.7632194681196,"NSCLC","20 - 52","32 - 82","Not available"
"CTG-1355",12.5947795966406,66.5677397772734,70.349398625306,"NSCLC","11 - 16","17 - 25","Not available"
"CTG-1356",24.7552564485695,74.8024692065299,75.6738595045549,"NSCLC","15 - 38","24 - 60","Not available"
"CTG-1357",11.5790715646535,74.75697755053,72.2971232750914,"NSCLC","8 - 17","13 - 26","Not available"
"CTG-1358",11.9650406168086,85.35814547023,93.2660061566076,"NSCLC","8 - 18","13 - 29","Not available"
"CTG-1360",22.4344511565161,82.76142655834,86.3153234058824,"NSCLC","16 - 29","25 - 46","Not available"
"CTG-1361",23.9300812336172,100.19262764717,108.219841394729,"NSCLC","18 - 35","29 - 56","Not available"
"CTG-1363",11.3952767779129,88.7827597683033,91.0405233703331,"NSCLC","10 - 15","15 - 24","Not available"
"CTG-1372",13.2944895742318,75.82333526398,77.9341195694108,"NSCLC","9 - 21","15 - 33","Not available"
"CTG-1441",12.5947795966406,66.6785334807133,35.7030881377392,"NSCLC","8 - 22","13 - 34","Naive"
"CTG-1444",6.5263857909865,67.9587961721334,43.6371935809877,"NSCLC","5 - 10","7 - 16","Pretreated"
"CTG-1502",7.03825918635799,70.34242004951,76.020907143294,"NSCLC","6 - 22","9 - 35","Pretreated"
"CTG-1535",12.5947795966406,73.33119858525,69.5114756641863,"NSCLC","9 - 23","14 - 36","Naive"
"CTG-1612",23.1581431293069,101.242661905967,101.53497366478,"NSCLC","17 - 46","27 - 73","Pretreated"
"CTG-1680",16.6954055118259,112.674342903423,122.617966765416,"NSCLC","12 - 28","19 - 45","Pretreated"
"CTG-1726",11.217225578258,72.24462041228,68.3282520399718,"NSCLC","7 - 20","11 - 32","Naive"
"CTG-1762",4.98543359033691,60.9834543175667,49.6397711708177,"NSCLC","4 - 9","6 - 14","Naive"
"CTG-1814",7.03825918635799,81.374389662,64.6180720692606,"NSCLC","5 - 12","8 - 19","Pretreated"
"CTG-1878",11.9650406168086,95.6461992808632,101.998461623573,"NSCLC","9 - 24","14 - 38","Naive"
"CTG-1879",27.6116321926352,75.8101173093433,79.62762219866,"NSCLC","23 - 42","37 - 66","Naive"
"CTG-1885",6.70936857017304,98.3203167338034,97.8642665677939,"NSCLC","5 - 9","8 - 15","Naive"
"CTG-1903",15.2745199363514,86.2788594841366,89.1847953423969,"NSCLC","11 - 18","18 - 29","Pretreated"
"CTG-1918",5.39776268427455,62.7676563134767,47.5122802017705,"NSCLC","5 - 10","8 - 15","Pretreated"
"CTG-1927",16.3159644774662,84.6698799677033,87.966983877346,"NSCLC","14 - 28","21 - 45","Naive"
"CTG-1928",17.0929151668694,65.97486822828,53.1280835509293,"NSCLC","14 - 30","23 - 48","Naive"
"CTG-1932",6.64724478711588,69.4241455305033,66.7569469628532,"NSCLC","5 - 9","7 - 15","Pretreated"
"CTG-1955",9.32340827283785,78.3936677387766,81.3370487602784,"NSCLC","8 - 15","12 - 24","Naive"
"CTG-1992",5.3177958296927,74.9449733506633,71.0997374808237,"NSCLC","4 - 7","7 - 11","Naive"
"CTG-2011",8.75490776839652,92.3079515847233,90.3191691388636,"NSCLC","7 - 14","11 - 23","Naive"
"CTG-2026",6.58626088998637,72.50003382951,71.8781689747807,"NSCLC","5 - 10","7 - 16","Naive"
"CTG-2082",10.8773096516442,74.2374300370334,72.5860459935512,"NSCLC","8 - 17","12 - 28","Naive"
"CTG-2123",13.5453290001607,79.0929733593834,79.8018326358545,"NSCLC","10 - 22","17 - 34","Naive"
"CTG-2143",23.1581431293069,70.7147347807533,70.7596760609883,"NSCLC","15 - 49","24 - 77","Pretreated"
"CTG-2180",35.8951218504258,112.067639388113,111.555366925924,"NSCLC","26 - 62","41 - 97","Pretreated"
"CTG-2210",19.4027685677977,96.4889717741,101.084604362983,"NSCLC","17 - 31","26 - 49","Naive"
"CTG-2261",29.9126015420214,73.3114601763699,75.742140001211,"NSCLC","24 - 49","39 - 78","Naive"
"CTG-2271",15.2745199363514,83.6680968586766,85.257002800223,"NSCLC","13 - 28","21 - 44","Naive"
"CTG-2311",6.5263857909865,73.4462128384334,71.3335414585218,"NSCLC","4 - 16","7 - 25","Naive"
"CTG-2330",14.9563007710107,93.4179270946601,96.7204900831524,"NSCLC","11 - 22","18 - 35","Naive"
"CTG-2367",21.7546193032883,115.625652091523,120.928812303494,"NSCLC","25 - 50","39 - 80","Naive"
"CTG-2393",19.9417343613476,115.33182331442,119.141348583295,"NSCLC","15 - 33","23 - 53","Pretreated"
"CTG-2405",29.9126015420214,103.913804895547,109.839087294934,"NSCLC","27 - 42","42 - 67","Pretreated"
"CTG-2417",28.7160974803406,83.6453415540966,87.5986710481123,"NSCLC","20 - 43","32 - 68","Naive"
"CTG-2466",11.217225578258,66.5035569654333,63.070180979715,"NSCLC","8 - 13","13 - 20","Naive"
"CTG-2485",17.9475609252129,100.918438415447,100.976159589415,"NSCLC","15 - 22","23 - 35","Pretreated"
"CTG-2487",19.9417343613476,76.41603300875,83.1462331746232,"NSCLC","15 - 35","23 - 56","Naive"
"CTG-2529",6.9699265728982,80.7355178321467,56.6757397898319,"NSCLC","5 - 9","8 - 14","Naive"
"CTG-2530",20.5114982002433,91.0414813785701,92.2302360037646,"NSCLC","14 - 30","23 - 48","Pretreated"
"CTG-2531",12.5947795966406,84.8802778323899,88.5220666559769,"NSCLC","9 - 15","15 - 24","Naive"
"CTG-2532",8.0663195169496,66.1280104863767,61.3017426518622,"NSCLC","5 - 21","8 - 33","Pretreated"
"CTG-2533",6.5263857909865,82.4529799160167,74.8021737041519,"NSCLC","4 - 9","6 - 15","Pretreated"
"CTG-2534",15.9533874890781,99.1668801992433,95.1671814370921,"NSCLC","12 - 24","20 - 38","Pretreated"
"CTG-2535",15.2745199363514,104.51073918438,108.528614583187,"NSCLC","11 - 22","17 - 34","Pretreated"
"CTG-2536",9.97086718067382,93.11784660037,99.8835203261922,"NSCLC","8 - 14","13 - 23","Pretreated"
"CTG-2537",17.9475609252129,82.7584556619934,76.5479122442599,"NSCLC","22 - 35","34 - 55","Pretreated"
"CTG-2538",22.4344511565161,93.9959526852399,97.0969069551975,"NSCLC","17 - 22","27 - 35","Naive"
"CTG-2539",8.5464575834347,65.10045698791,50.9496231906118,"NSCLC","6 - 13","9 - 20","Pretreated"
"CTG-2540",6.46758952259923,62.3286416750834,44.5523800356271,"NSCLC","4 - 9","7 - 15","Pretreated"
"CTG-2542",11.9650406168086,81.5053392535433,93.1207637433842,"NSCLC","8 - 17","13 - 27","Pretreated"
"CTG-2543",27.6116321926352,107.637212077787,112.091549597839,"NSCLC","15 - 82","24 - 129","Pretreated"
"CTG-2544",10.8773096516442,93.3861439749499,90.6979279834681,"NSCLC","6 - 10","10 - 17","Pretreated"
"CTG-2548",14.6510701430309,81.3484121490233,80.0488454004039,"NSCLC","10 - 23","16 - 36","Naive"
"CTG-2552",8.64942695190982,65.0399775009066,57.1590953602011,"NSCLC","6 - 12","10 - 19","Pretreated"
"CTG-2554",6.5263857909865,64.3548046626167,59.9396943400772,"NSCLC","5 - 9","8 - 14","Naive"
"CTG-2555",11.0446528770541,71.6497044650334,73.6781183446621,"NSCLC","7 - 21","11 - 32","Naive"
"CTG-2556",7.88903776932434,68.21512093759,63.5837772514852,"NSCLC","6 - 10","10 - 17","Pretreated"
"CTG-2557",14.6510701430309,76.99418790991,73.8213377914624,"NSCLC","10 - 30","16 - 48","Naive"
"CTG-2558",13.8058160963176,64.8338061746733,53.8566832044753,"NSCLC","11 - 29","18 - 46","Naive"
"CTG-2569",16.6954055118259,89.3795076808699,93.7558675676053,"NSCLC","12 - 24","19 - 38","Naive"
"CTG-2572",21.7546193032883,76.2265646990267,72.5497070871862,"NSCLC","16 - 39","26 - 62","Naive"
"CTG-2575",10.4043831450509,71.5282550068466,56.2692214053081,"NSCLC","7 - 20","11 - 31","Naive"
"CTG-2579",9.83427995902075,86.4853778917699,89.9594036641636,"NSCLC","6 - 10","10 - 16","Pretreated"
"CTG-2610",29.9126015420215,103.92883999854,107.388632018104,"NSCLC","22 - 39","35 - 62","Pretreated"
"CTG-2649",5.24016377378478,62.88085410575,57.3039588459231,"NSCLC","4 - 6","7 - 10","Naive"
"CTG-2669",7.10794492087638,67.79667169327,51.8180431892573,"NSCLC","5 - 10","7 - 15","Pretreated"
"CTG-2695",19.4027685677977,106.552633823423,108.366104159316,"NSCLC","9 - 88","14 - 139","Pretreated"
"CTG-2751",23.9300812336172,86.43028838076,96.7165814547399,"NSCLC","17 - 37","28 - 58","Naive"
"CTG-2755",18.8921693949609,71.6850724433801,67.9352514981208,"NSCLC","14 - 32","22 - 51","Naive"
"CTG-2770",19.4027685677977,83.1209495788533,89.8867291629409,"NSCLC","19 - 33","30 - 52","Pretreated"
"CTG-2776",9.08737262036095,85.6413898600066,92.318350947216,"NSCLC","7 - 11","11 - 18","Naive"
"CTG-2784",12.3776282242847,70.93026991643,71.6052724272364,"NSCLC","13 - 26","21 - 41","Naive"
"CTG-2788",13.5453290001607,72.12298790685,62.5896784578304,"NSCLC","10 - 30","16 - 47","Naive"
"CTG-2790",15.9533874890781,90.9746727804366,98.3965451066142,"NSCLC","12 - 21","20 - 34","Pretreated"
"CTG-2803",7.97669374453905,67.2087342656033,53.2571517871418,"NSCLC","6 - 12","9 - 18","Pretreated"
"CTG-2823",19.9417343613476,73.6160038144766,73.2897705338356,"NSCLC","20 - 31","32 - 49","Naive"
"CTG-2825",5.74321949606812,61.5751049553833,51.4143731275453,"NSCLC","5 - 8","7 - 12","Naive"
"CTG-2832",12.819686375152,64.6027966195367,67.2319182359802,"NSCLC","8 - 12","13 - 19","Pretreated"
"CTG-2839",24.7552564485695,103.486866509067,111.209153624258,"NSCLC","20 - 66","32 - 105","Pretreated"
"CTG-2841",25.6393727503041,104.7715693992,106.850826170838,"NSCLC","21 - 50","33 - 79","Naive"
"CTG-2842",8.75490776839652,76.6217464205299,80.5465803106399,"NSCLC","6 - 12","10 - 19","Pretreated"
"CTG-2873",9.20387739754506,70.43632901159,56.8701257154993,"NSCLC","7 - 12","11 - 19","Naive"
"CTG-2896",14.3580487401703,79.5023780351167,78.0894095168723,"NSCLC","12 - 17","18 - 27","Pretreated"
"CTG-2912",13.5453290001607,80.43842350592,84.5355002904888,"NSCLC","15 - 21","23 - 33","Pretreated"
"CTG-2934",25.6393727503041,98.6780136771133,98.4543264487787,"NSCLC","19 - 58","31 - 93","Pretreated"
"CTG-2939",11.5790715646535,67.4514001572833,60.3975840736241,"NSCLC","10 - 33","16 - 53","Pretreated"
"CTG-2946",13.8058160963176,67.5424355717233,67.3354970625707,"NSCLC","14 - 20","22 - 31","Not available"
"CTG-2983",79.7669374453906,98.8847365849766,101.501601153828,"NSCLC","56 - 128","89 - 202","Pretreated"
"CTG-2992",11.9650406168086,83.7187536514266,84.0175932613194,"NSCLC","9 - 20","14 - 32","Pretreated"
"CTG-3044",12.1678379153986,93.50704095162,95.9076759786138,"NSCLC","9 - 17","14 - 26","Pretreated"
"CTG-3115",14.3580487401703,73.8091098136466,76.7991090671303,"NSCLC","12 - 18","19 - 29","Naive"
"CTG-3121",21.114777559074,82.8142421124433,82.4620435239443,"NSCLC","15 - 30","24 - 48","Naive"
"CTG-3122",14.3580487401703,74.6569769007534,69.3074178229112,"NSCLC","17 - 27","27 - 44","Pretreated"
"CTG-3160",10.1113019296974,80.7011857130267,87.2745163452041,"NSCLC","8 - 15","12 - 24","Pretreated"
"CTG-3188",10.4043831450509,72.0977565169501,71.2885404603245,"NSCLC","8 - 13","13 - 20","Naive"
"CTG-3190",4.27322879171735,82.8742412241667,74.6355519263889,"NSCLC","4 - 7","6 - 11","Pretreated"
"CTG-3192",19.9417343613476,76.7865593204866,79.0933007682191,"NSCLC","17 - 26","26 - 41","Pretreated"
"CTG-3196",12.819686375152,105.46376113503,106.35710872142,"NSCLC","15 - 22","24 - 35","Pretreated"
"CTG-3213",11.217225578258,72.27448878078,63.0068598702325,"NSCLC","9 - 18","15 - 29","Naive"
"CTG-3236",24.7552564485695,71.0618943375567,68.2623168341989,"NSCLC","16 - 44","25 - 70","Pretreated"
"CTG-3271",19.9417343613476,109.10823478003,107.744339435658,"NSCLC","13 - 32","21 - 50","Pretreated"
"CTG-3320",6.9029080481588,62.09775246186,59.1676611896854,"NSCLC","6 - 11","10 - 17","Pretreated"
"CTG-3375",47.8601624672343,107.847288194523,105.893103802479,"NSCLC","39 - 83","62 - 131","Pretreated"
"CTG-3377",14.3580487401703,79.9907990210533,75.4008880958021,"NSCLC","13 - 19","20 - 30","Pretreated"
"CTG-3414",5.98252030840429,65.2562216633367,41.383002743852,"NSCLC","4 - 8","6 - 12","Pretreated"
"CTG-3470",14.3580487401703,80.5986350336767,74.1543306850088,"NSCLC","11 - 26","18 - 41","Pretreated"
"CTG-3475",17.9475609252129,83.1992187561766,82.561521007308,"NSCLC","12 - 25","19 - 40","Pretreated"
"CTG-3477",6.24262988703056,81.3907525937167,81.0169188423967,"NSCLC","5 - 8","9 - 12","Pretreated"
"CTG-3485",16.6954055118259,70.9669950480634,75.505249030129,"NSCLC","16 - 21","26 - 33","Pretreated"
"CTG-3493",15.6065747175764,84.3673413306266,84.3468814378904,"NSCLC","12 - 21","19 - 33","Naive"
"CTG-3514",7.32553507151546,82.61265079818,90.4360768162313,"NSCLC","5 - 10","8 - 16","Pretreated"
"CTG-3538",12.819686375152,94.88978928523,92.6085353166723,"NSCLC","8 - 20","13 - 32","Pretreated"
